Country,Life expectancy,Mean years of schooling,Expected years of schooling,Gross national income (GNI) per capita,Human Development Index (HDI)
Afghanistan,64.1,3.0,10.7,1768,0.478
Albania,78.5,11.0,14.8,12246,0.796
Algeria,76.3,8.0,14.6,10800,0.748
Argentina,76.7,11.1,17.7,22050,0.849
Australia,83.3,12.7,20.4,48000,0.951
Austria,81.5,12.1,16.3,52000,0.926
Bangladesh,72.6,7.4,12.4,5472,0.661
Belgium,81.6,12.0,19.0,51000,0.937
Brazil,75.9,8.1,15.4,14500,0.754
Canada,82.2,13.3,16.3,48000,0.936
Chile,80.0,10.9,16.5,23000,0.855
China,78.2,8.0,14.2,17500,0.788
Colombia,77.7,8.9,14.4,14000,0.758
Costa Rica,80.3,8.8,15.4,15000,0.809
Denmark,81.0,12.6,19.2,58000,0.948
Egypt,70.2,7.5,13.8,12000,0.728
Finland,81.9,12.4,19.1,49000,0.942
France,82.5,11.7,16.5,46000,0.910
Germany,81.0,14.1,17.0,55000,0.942
Greece,80.1,11.0,20.0,28000,0.887
India,67.2,6.7,11.9,6800,0.633
Indonesia,71.7,8.6,13.7,11500,0.705
Ireland,82.1,12.7,18.7,90000,0.955
Italy,82.9,10.6,16.2,40000,0.895
Japan,84.8,12.9,15.2,43000,0.925
Malaysia,75.9,10.7,13.3,29000,0.807
Mexico,75.1,9.2,14.5,19000,0.781
Nepal,70.5,5.1,12.8,3800,0.602
Netherlands,81.7,12.6,18.5,57000,0.941
New Zealand,82.1,13.4,18.2,42000,0.937
Norway,82.3,13.0,18.2,70000,0.966
Pakistan,67.3,4.5,8.3,4900,0.544
Portugal,81.1,8.6,16.9,35000,0.866
South Africa,65.3,11.4,13.9,13000,0.717
Spain,83.2,10.6,17.9,38000,0.905
United States,78.9,13.7,16.5,65000,0.921
